Joshua Project People Group Data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ROG3;Ctry;PeopleID3;ROP3;PeopNameAcrossCountries;PeopNameInCountry;Population;JPScale;LeastReached;Frontier;ROL3;PrimaryLanguageName;BibleStatus;RLG3;PrimaryReligion;PercentAdherents;PctChristianRange;PercentEvangelical;PctEvangelicalRange;ROP1;PeopleID1;AffinityBloc;PeopleID2;ROP2;PeopleCluster;RegionCode;RegionName;ROG2;Continent;10_40Window;CountOfCountries;IndigenousCode;WorkersNeeded;Latitude;Longitude
CM;Cameroon;10132;100022;Abo;Abo;24000;4;N;N;abb;Bankon;2;1;Christianity;70;50-100%;2.5;2-5%;A013;22;Sub-Saharan Peoples;347;C0271;Bantu, Northwest;8;Africa, West and Central;AFR;Africa;N;1;Y;;4.37822;9.64981
CM;Cameroon;10175;100107;Aghem;Aghem, Wum;54000;4;N;N;agq;Aghem;4;1;Christianity;75;50-100%;7;5-10%;A013;22;Sub-Saharan Peoples;333;C0257;Bantu, Cameroon-Bamileke;8;Africa, West and Central;AFR;Africa;N;1;Y;;6.38736;10.07548
CM;Cameroon;10232;100198;Akum;Akum;2700;4;N;N;aku;Akum;2;1;Christianity;62;50-100%;8;5-10%;A013;22;Sub-Saharan Peoples;140;C0044;Benue;8;Africa, West and Central;AFR;Africa;N;2;Y;;6.83834;9.99558
CM;Cameroon;10270;100257;Amasi;Amasi, Banta;11000;3;N;N;myg;Manta;1;1;Christianity;73;50-100%;1.5;0.1-2%;A013;22;Sub-Saharan Peoples;102;C0003;Adamawa-Ubangi;8;Africa, West and Central;AFR;Africa;N;1;Y;;6.01368;9.58139
CM;Cameroon;10279;100269;Ambele;Ambele;11000;4;N;N;ael;Ambele;1;1;Christianity;69;50-100%;6;5-10%;A013;22;Sub-Saharan Peoples;140;C0044;Benue;8;Africa, West and Central;AFR;Africa;N;1;Y;;5.93729;9.6208
CM;Cameroon;15655;110311;Arab, Turku;Arab, Turku;15000;1;Y;Y;pga;Arabic, Juba;3;6;Islam;0.1;0-0.1%;0.1;0-0.1%;A001;10;Arab World;117;C0019;Arab, Sudan;8;Africa, West and Central;AFR;Africa;N;3;N;1;3.828484;11.445913
CM;Cameroon;10479;100602;Atong;Atong;8500;3;N;N;ato;Atong (Cameroon);2;1;Christianity;62;50-100%;0.3;0.1-2%;A013;22;Sub-Saharan Peoples;333;C0257;Bantu, Cameroon-Bamileke;8;Africa, West and Central;AFR;Africa;N;1;Y;;6.04585;9.73302
CM;Cameroon;10508;100650;Awing;Awing;38000;4;N;N;azo;Awing;4;1;Christianity;85;50-100%;7;5-10%;A013;22;Sub-Saharan Peoples;333;C0257;Bantu, Cameroon-Bamileke;8;Africa, West and Central;AFR;Africa;N;1;Y;;5.87496;10.26588
CM;Cameroon;10535;100686;Baba;Baba;42000;3;N;N;bbw;Supapya;2;1;Christianity;70;50-100%;2;0.1-2%;A013;22;Sub-Saharan Peoples;333;C0257;Bantu, Cameroon-Bamileke;8;Africa, West and Central;AFR;Africa;N;1;Y;;6.1146;10.52384
CM;Cameroon;12677;104993;Babanki;Babanki;56000;4;N;N;bbk;Babanki;4;1;Christianity;73;50-100%;3;2-5%;A013;22;Sub-Saharan Peoples;333;C0257;Bantu, Cameroon-Bamileke;8;Africa, West and Central;AFR;Africa;N;1;Y;;6.07204;10.29866
CM;Cameroon;20200;115962;Badwe'e;Badwe'e;23000;4;N;N;ozm;Koonzime;4;1;Christianity;73;50-100%;7;5-10%;A013;22;Sub-Saharan Peoples;347;C0271;Bantu, Northwest;8;Africa, West and Central;AFR;Africa;N;1;Y;;3.165112;13.618913
CM;Cameroon;10554;100729;Bafanji;Bafanji;26000;2;N;N;bfj;Chufie';3;4;Ethnic Religions;27;10-50%;1.5;0.1-2%;A013;22;Sub-Saharan Peoples;333;C0257;Bantu, Cameroon-Bamileke;8;Africa, West and Central;AFR;Africa;N;1;Y;;5.84312;10.44831
CM;Cameroon;10555;100730;Bafaw;Bafaw;29000;4;N;N;bwt;Bafaw-Balong;2;1;Christianity;75;50-100%;2.5;2-5%;A013;22;Sub-Saharan Peoples;347;C0271;Bantu, Northwest;8;Africa, West and Central;AFR;Africa;N;1;Y;;4.58401;9.53893
CM;Cameroon;10556;100731;Bafia, Bekpak;Bafia, Bekpak;154000;5;N;N;ksf;Bafia;4;1;Christianity;69;50-100%;11;10-50%;A013;22;Sub-Saharan Peoples;333;C0257;Bantu, Cameroon-Bamileke;8;Africa, West and Central;AFR;Africa;N;1;Y;;4.72603;11.0982
