Joshua Project People Group Data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ROG3;Ctry;PeopleID3;ROP3;PeopNameAcrossCountries;PeopNameInCountry;Population;JPScale;LeastReached;Frontier;ROL3;PrimaryLanguageName;BibleStatus;RLG3;PrimaryReligion;PercentAdherents;PctChristianRange;PercentEvangelical;PctEvangelicalRange;ROP1;PeopleID1;AffinityBloc;PeopleID2;ROP2;PeopleCluster;RegionCode;RegionName;ROG2;Continent;10_40Window;CountOfCountries;IndigenousCode;WorkersNeeded;Latitude;Longitude
CM;Cameroon;15655;110311;Arab, Turku;Arab, Turku;15000;1;Y;Y;pga;Arabic, Juba;3;6;Islam;0.1;0-0.1%;0.1;0-0.1%;A001;10;Arab World;117;C0019;Arab, Sudan;8;Africa, West and Central;AFR;Africa;N;3;N;1;3.828484;11.445913
CM;Cameroon;14926;108972;Baggara, Shuwa Arab;Baggara, Shuwa Arab;214000;1;Y;Y;shu;Arabic, Chadian;5;6;Islam;0.019;0-0.1%;0.016;0-0.1%;A001;10;Arab World;116;C0018;Arab, Shuwa;8;Africa, West and Central;AFR;Africa;N;7;N;4;12.43351;14.60394
CM;Cameroon;19007;114916;Deaf;Deaf;258000;1;Y;Y;xxx;Language unknown;0;9;Unknown;0;0-0.1%;0;0-0.1%;A017;26;Deaf;328;C0252;Deaf;8;Africa, West and Central;AFR;Africa;N;164;Y;5;3.898052543;11.52868386
CM;Cameroon;13981;107401;Fali, North;Fali, North;53000;1;Y;N;fll;Fali, North;3;6;Islam;3;2-5%;2;0.1-2%;A013;22;Sub-Saharan Peoples;102;C0003;Adamawa-Ubangi;8;Africa, West and Central;AFR;Africa;N;1;Y;1;9.92232;13.66252
CM;Cameroon;11774;103079;Fulani, Adamawa;Fulani, Adamawa;2938000;1;Y;Y;fub;Fulfulde, Adamawa;5;6;Islam;0.05;0-0.1%;0.05;0-0.1%;A013;22;Sub-Saharan Peoples;173;C0077;Fulani / Fulbe;8;Africa, West and Central;AFR;Africa;N;6;Y;59;10.657325;14.410148
CM;Cameroon;10949;101622;Fulani, Nigerian;Fulani, Nigerian;93000;1;Y;Y;fuv;Fulfulde, Nigerian;4;6;Islam;0.05;0-0.1%;0.04;0-0.1%;A013;22;Sub-Saharan Peoples;173;C0077;Fulani / Fulbe;8;Africa, West and Central;AFR;Africa;N;3;N;2;11.70559;14.81338
CM;Cameroon;11875;103311;Fulbe-Gey;Fulbe-Gey;4600;1;Y;N;fub;Fulfulde, Adamawa;5;6;Islam;0.2;0.1-2%;0.1;0-0.1%;A013;22;Sub-Saharan Peoples;173;C0077;Fulani / Fulbe;8;Africa, West and Central;AFR;Africa;N;1;Y;1;9.287751215;13.39691603
CM;Cameroon;15014;109445;Giziga, South;Giziga, South;154000;1;Y;N;giz;Giziga;5;4;Ethnic Religions;5;2-5%;1.3;0.1-2%;A013;22;Sub-Saharan Peoples;158;C0062;Chadic  ;8;Africa, West and Central;AFR;Africa;N;1;Y;3;10.31267;14.17784
CM;Cameroon;12070;103733;Hausa;Hausa;441000;1;Y;Y;hau;Hausa;5;6;Islam;0.1;0-0.1%;0.08;0-0.1%;A013;22;Sub-Saharan Peoples;186;C0090;Hausa;8;Africa, West and Central;AFR;Africa;N;16;N;9;4.06638;11.38454
CM;Cameroon;12509;104605;Kanuri, Yerwa;Kanuri, Yerwa;188000;1;Y;Y;knc;Kanuri, Yerwa;4;6;Islam;0.019;0-0.1%;0.016;0-0.1%;A013;22;Sub-Saharan Peoples;159;C0063;Kanuri-Saharan;8;Africa, West and Central;AFR;Africa;N;5;N;4;11.1712;14.33818
