OBJECTID;PEID;PGID;Name;NmDisp;NmAlt;ISOalpha3;Ctry;Regn;RegnSub;ROG;AffCd;Aff;PeopleDesc;LocationDesc;Pop;PopCls;EvngLvl;CongExst;Plnting;EngStat;GSEC;GSECbrf;GSEClng;SPI;SPIdesc;LPI;LPIname;LPIdesc;ROL;Lang;LangFamily;LangClass;LangSpkrs;ROR;Rlgn;RlgnAdher;RORdesc;RlgnBs;ROR4;ROR3;RlgnDiv;ROP3;PplNm;ROP25;Ethne;ROP2;PplClstr;ROP1;Affbloc;Bible;Jesus;Radio;Gospel;Audio;Stories;ResTot;LvlBible;YrPub;PicCrdt;PicURL;Photo;Indigenous;Latitude;Longitude;PeopleSearch;UpdatedDate
1;24371;PG024371;Ahiska Turk;Ahiska Turks;Meskhetian Turk, Turkish Meskhetian, Turkish Ahiskan, Ahiska Turk;KGZ;Kyrgyzstan;Asia;Central Asia;KG;AG400;Central Asian Peoples;ethnic Turks whose identity is rooted in the Ahiska (Meskheti) region of Georgia prior to their forced deportation by the Soviet government in 1944;Widespread;48500;25,000 - 49,999;Less than 2%;No;No Churches Planted;Engaged;1;Less than 2% Evangelical, No Active CP Activity;this people group is less than 2% evangelical, some evangelical resources are available, but there has been no active church planting among them within the past two years;1;Engaged yet Unreached;0;Frontier Unreached People Group;< 0.1% Evangelical;tur;Turkish;Turkic;Turkic, Southern, Turkish;100;MSN;Islam - Sunni;100;Sunni Islam, the largest branch of Islam. Sunni Muslims follow the teachings of the Qur'an and consider the first four caliphs to be the rightful successors of Muhammad.;Islam;MSN;M;Sunni Islam;115687;Ahiska (Meskheti) Turk;308375;Turk;C0221;Turkic;A015;Turkic Peoples;Available;Available;Not Available;Available;Available;Not Available;4;None;None;"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Cem Ahiska - Wikimedia <a href=""https://commons.wikimedia.org/wiki/File:Young_Meskhetian_Turks.jpg"">Cem Ahiska - Wikimedia</a> Licensed under <a href=""https://creativecommons.org/licenses/by-sa/4.0/"">CC BY-SA 4.0</a>";https://joshuaproject.net/assets/media/profiles/photos/p20631.jpg;Y;Diaspora;42.886741;74.585904;Ahiska Turks of Kyrgyzstan (PG024371);2025-05-19T03:03:06.266+00:00
2;23974;PG023974;Gawar-Bati;Gawar-Bati;Narisati;AFG;Afghanistan;Asia;Southern Asia;AF;AG400;Central Asian Peoples;a subgroup of the larger Dardic ethnic group of northeastern Afghanistan;Kunar province: Konar river valley. 8 or 9 villages;38000;25,000 - 49,999;No Known Evangelicals;No;No Churches Planted;Unengaged;1;Less than 2% Evangelical, No Active CP Activity;this people group is less than 2% evangelical, some evangelical resources are available, but there has been no active church planting among them within the past two years;0;Unengaged and Unreached;0;Frontier Unreached People Group;< 0.1% Evangelical;gwt;Gawar-Bati;Indo-European;Indo-European, Indo-Iranian, Indo-Aryan, Outer Languages, Northwestern, Dardic, Kunar;100;MSN;Islam - Sunni;100;Sunni Islam, the largest branch of Islam. Sunni Muslims follow the teachings of the Qur'an and consider the first four caliphs to be the rightful successors of Muhammad.;Islam;MSN;M;Sunni Islam;103257;Gawar-Bati;302609;Gawar-Bati;C0159;Nuristani;A005;Persian-Median Peoples;Not Available;Not Available;Not Available;Available;Not Available;Not Available;1;None;None;"<div style=""font-size: 0.8em"">No photo available</div>";https://www.peoplegroups.org/images/pgphotosearch/NoImageAvailable_search.jpg;N;Indigenous;35.22045;71.53814;Gawar-Bati of Afghanistan (PG023974);2025-08-28T07:20:05.786+00:00
3;23995;PG023995;Pashayi, Northeast;Northeast Pashayi;Pashi, Northeast Pashai;AFG;Afghanistan;Asia;Southern Asia;AF;AG400;Central Asian Peoples;a linguistic subgroup of the larger Pashayi ethnic group of northeastern Afghanistan;Kunar province: west of Asadabad, Konar and Pech rivers’ valleys;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;23997;PG023997;Pashayi, Southwest;Southwest Pashayi;Pashai, Southwest Pashai;AFG;Afghanistan;Asia;Southern Asia;AF;AG400;Central Asian Peoples;a linguistic subgroup of the larger Pashayi ethnic group of northeastern Afghanistan;Northeast of Kabul, and in Kapisa province;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;24191;PG024191;Mazanderani;Mazanderani;Mazandarani, Mazanderani;IRN;Iran;Asia;Southern Asia;IR;AG400;Central Asian Peoples;an Iranian ethnic group indigenous to the southern coast of the Caspian Sea in northern Iran, particularly Mazandaran Province, with communities also found in parts of Alborz, Golestan, Tehran, and Semnan provinces;Mazandaran province;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;41916;PG041916;Dadupanthi;Dadupanthi;Naheng, Grihasthi;IND;India;Asia;Southern Asia;IN;AG500;South Asian Peoples;an ethnoreligious community of India, comprised of followers of a Gaur Brahman saint named Dadu;Rajasthan: Jaipur, Bikaner, Alwar, Kota, Bharatpur, Jodhpur, and Sirohi districts;101000;100,000 - 249,999;No Known Evangelicals;No;No Churches Planted;Unengaged;1;Less than 2% Evangelical, No Active CP Activity;this people group is less than 2% evangelical, some evangelical resources are available, but there has been no active church planting among them within the past two years;0;Unengaged and Unreached;0;Frontier Unreached People Group;< 0.1% Evangelical;rwr;Marwari (India);Indo-European;Indo-European, Indo-Iranian, Indo-Aryan, Intermediate Divisions, Western, Rajasthani, Marwari;100;H;Hinduism;99;Hinduism, the predominant religious tradition of the Indian subcontinent. There are many forms of Hinduism, each with its own deities and beliefs.;Hinduism;;H;;111860;Dadupanthi;301878;Dadupanthi;C0091;Hindi;A012;South Asian Peoples;Available;Available;Available;Available;Available;Not Available;5;New Testament;2023;"<div style=""font-size: 0.8em"">No photo available</div>";https://www.peoplegroups.org/images/pgphotosearch/NoImageAvailable_search.jpg;N;Indigenous;26.912416;75.787288;Dadupanthi of India (PG041916);2025-04-24T13:58:34.386+00:00
7;24299;PG024299;Turk;Turks;Turkish Meskhetian, Ahiska Turk, Turkish Ahiskan;KAZ;Kazakhstan;Asia;Central Asia;KZ;AG400;Central Asian Peoples;the main ethnic group of Türkiye (Turkey) and one of the largest Turkic-speaking populations in the world;Widespread;91000;50,000 - 99,999;No Known Evangelicals;No;No Churches Planted;Unengaged;1;Less than 2% Evangelical, No Active CP Activity;this people group is less than 2% evangelical, some evangelical resources are available, but there has been no active church planting among them within the past two years;0;Unengaged and Unreached;0;Frontier Unreached People Group;< 0.1% Evangelical;tur;Turkish;Turkic;Turkic, Southern, Turkish;100;MSN;Islam - Sunni;95;Sunni Islam, the largest branch of Islam. Sunni Muslims follow the teachings of the Qur'an and consider the first four caliphs to be the rightful successors of Muhammad.;Islam;MSN;M;Sunni Islam;113818;Turk;308375;Turk;C0221;Turkic;A015;Turkic Peoples;Available;Available;Not Available;Available;Available;Not Available;4;None;None;Photo by Google. (2025). Image generated by Gemini 2.5 Flash: Ahiska Turk;https://images.peoplegroups.org/imbpeople-featured-images/PG024299.jpg;Y;Diaspora;43.287186;76.896232;Turks of Kazakhstan (PG024299);2025-11-24T19:14:46.457+00:00
8;49925;PG049925;Sarthi;Sarthi;Thakur, Sais;IND;India;Asia;Southern Asia;IN;AG500;South Asian Peoples;a community of India;Chhattisgarh: north central;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;41790;PG041790;Jimdar;Jimdar;Garhwali Jimdar, Garhwali Jimdar Rajput;IND;India;Asia;Southern Asia;IN;AG500;South Asian Peoples;a community of India;Uttarakhand state, Garhwal division;98000;50,000 - 99,999;No Known Evangelicals;No;No Churches Planted;Unengaged;1;Less than 2% Evangelical, No Active CP Activity;this people group is less than 2% evangelical, some evangelical resources are available, but there has been no active church planting among them within the past two years;0;Unengaged and Unreached;0;Frontier Unreached People Group;< 0.1% Evangelical;gbm;Garhwali;Indo-European;Indo-European, Indo-Iranian, Indo-Aryan, Intermediate Divisions, Western, Pahari, Garhwali;100;H;Hinduism;99;Hinduism, the predominant religious tradition of the Indian subcontinent. There are many forms of Hinduism, each with its own deities and beliefs.;Hinduism;;H;;116177;Rajput Garhwali Jimdar;306917;Rajput;C0297;Rajput;A012;South Asian Peoples;Available;Available;Available;Available;Available;Available;6;New Testament;2021;"<div style=""font-size: 0.8em"">No photo available</div>";https://www.peoplegroups.org/images/pgphotosearch/NoImageAvailable_search.jpg;N;Indigenous;30.36508152;78.43825791;Jimdar of India (PG041790);2025-05-19T03:04:20.36+00:00
10;24590;PG024590;Tatar;Tatar;Tatarlar, Татарлар;TUR;Türkiye;Asia;Western Asia;TU;AG400;Central Asian Peoples;a Turkic ethnic group indigenous to the Tatarstan region of Russia and Ukraine;;31000;25,000 - 49,999;No Known Evangelicals;No;No Churches Planted;Engaged;1;Less than 2% Evangelical, No Active CP Activity;this people group is less than 2% evangelical, some evangelical resources are available, but there has been no active church planting among them within the past two years;1;Engaged yet Unreached;0;Frontier Unreached People Group;< 0.1% Evangelical;tat;Tatar;Turkic;Turkic, Western, Uralian;100;MSN;Islam - Sunni;99;Sunni Islam, the largest branch of Islam. Sunni Muslims follow the teachings of the Qur'an and consider the first four caliphs to be the rightful successors of Muhammad.;Islam;MSN;M;Sunni Islam;109874;Tatar;307991;Tatar;C0223;Ural-Siberian;A015;Turkic Peoples;Available;Available;Not Available;Available;Available;Not Available;4;None;None;"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Copyrighted ©️ 2025 Shamilini - Shutterstock Used with permission";https://joshuaproject.net/assets/media/profiles/photos/p15284.jpg;Y;Diaspora;41.074531;28.940367;Tatar of Turkiye (PG024590);2025-05-19T03:04:24.506+00:00
