name;villageName;population;numberOfChurches;churchGeneration;latitude;longitude;description
Toupouri;Kada;2000;44;7;10.099;14.9032;Majoritaire dans le village
Toupouri;Gounougou;3000;2;5;9.0699;13.6947;Majoritaire dans le village
Massa;Yagoua;15000;120;8;10.3417;15.2372;Mouvement DMM établi avec 8 générations
Moundang;Léré;8000;75;6;9.6333;14.1833;Progression vers tipping point
Tupuri;Mindif;5000;35;4;10.5167;14.5833;Phase midway avec croissance stable
Guiziga;Maroua;12000;5;2;10.5911;14.3158;Engagement pioneer récent
Fulani;Garoua;25000;0;0;9.3011;13.3964;Non atteint - population nomade
Kotoko;Makary;6000;90;7;12.5833;14.4500;Proche du mouvement DMM
Musgum;Pouss;4500;50;5;10.0667;15.0167;Phase midway avancée
Kanuri;Fotokol;7000;15;3;12.3833;14.3167;Engagement pioneer en développement
Bana;Bourrha;3500;68;6;10.4500;14.7167;Au seuil du tipping point
Guidar;Guider;9000;110;8;9.9333;13.9500;Mouvement DMM confirmé
Mundang;Kaélé;6500;40;4;10.0833;14.4500;Phase midway stable
Gidar;Kalfou;4000;25;3;10.2167;14.9833;Engagement pioneer actif
Daba;Pété;5500;3;1;10.1500;13.8667;Engagement très récent
Mofu;Mokolo;11000;85;7;10.7333;13.8000;Proche du mouvement DMM
Kapsiki;Rhumsiki;3000;55;5;10.6667;13.7500;Phase midway avancée
Mafa;Mokong;8500;95;7;10.5500;14.1667;Progression vers DMM
Zulgo;Maga;4200;30;3;10.9167;14.6500;Phase pioneer avancée
Gude;Moutourwa;5800;70;6;10.3833;13.6333;Proche du tipping point
Fali;Garoua;7500;45;4;9.3011;13.3964;Phase midway en croissance
Mbum;Ngaoundéré;20000;1;1;7.3167;13.5833;Engagement très récent - grande ville
