UPG;Country;CC;PopulationTotal;Latitude;Longitude;PrimaryLanguage;Religion;Continent;PChrn
Gawar-Bati;Afghanistan;AF;38000;35.22045;71.53814;Gawar-Bati;Islam;Asia;0
Dadupanthi;India;IN;101000;26.912416;75.787288;Marwari (India);Hinduism;Asia;0
Turks;Kazakhstan;KZ;91000;43.287186;76.896232;Turkish;Islam;Asia;0
Jimdar;India;IN;98000;30.36508152;78.43825791;Garhwali;Hinduism;Asia;0
Ahiska Turks;Russian Federation;RS;80000;45.038046;39.022423;Turkish;Islam;Europe;0
Galo;Pakistan;PK;4000;35.0073;72.9674;Kohistani, Indus;Islam;Asia;0
Olubogo;South Sudan;OD;24500;4.6242;31.91031;Olu’bo;Islam;Africa;0
Wakhi;China;CH;9600;37.38;75.402;Wakhi;Islam;Asia;0
Pangwal Buddhists;India;IN;2100;33.15328;76.49206;Pangwali;Buddhism;Asia;0
Macedonians;Canada;CA;24000;43.7062;-79.3123;Macedonian;Christianity;Americas;0
Katu Hanna;Laos;LA;750;15.590595;107.142317;Katu, Western;Ethnoreligion;Asia;0
Katu Triew;Laos;LA;2500;15.590595;107.142317;Katu, Western;Ethnoreligion;Asia;0
Ta-Oy Pras;Laos;LA;1300;16.266094;106.707533;Ta’oih, Upper;Ethnoreligion;Asia;0
Ta-Oy Ralok;Laos;LA;850;15.975755;106.625407;Ta’oih, Upper;Ethnoreligion;Asia;0
Ta-Oy Tamla;Laos;LA;1600;15.63766;107.211813;Ta’oih, Upper;Ethnoreligion;Asia;0
Baga Fore;Guinea;GV;9500;10.7941;-14.7132;Mbulungish;Islam;Africa;0
Baga Koga;Guinea;GV;5400;10.048028;-12.853688;Susu;Islam;Africa;0
Bhattra (Bhatri);India;IN;335000;19.0814;82.0213;Bhatri;Hinduism;Asia;0
Cape Malay;South Africa;SF;248000;-33.97554;18.44811;Afrikaans;Islam;Africa;0
Tajiks;Germany;GM;25000;52.5149789226;13.3443563628;Tajik;Islam;Europe;0
Vietnamese;Macao;MC;18500;22.1320499852;113.561457193;Vietnamese;Buddhism;Asia;0
Nepalis;Hong Kong;HK;29500;22.3089987285;114.170687868;Nepali;Hinduism;Asia;0
Japanese;Hong Kong;HK;10000;22.2867323206;114.216387942;Japanese;Buddhism;Asia;0
South Asians;Hong Kong;HK;15500;22.3004534722;114.17258091;Urdu;Islam;Asia;0
Akha Eurba;Laos;LA;5900;21.356205;102.107169;Akha;Ethnoreligion;Asia;0
Akha Jijor;Laos;LA;5100;21.222051;101.108595;Akha;Ethnoreligion;Asia;0
Akha Jipea;Laos;LA;9700;21.131453;101.88011;Akha;Buddhism;Asia;0
Akha Jowhoi;Laos;LA;550;21.185418;101.381256;Akha;Ethnoreligion;Asia;0
Akha Ker;Laos;LA;3300;22.152479;101.817706;Akha;Ethnoreligion;Asia;0
Akha Nuver;Laos;LA;6400;22.02299;101.880051;Akha;Ethnoreligion;Asia;0
Akha Pala;Laos;LA;6500;21.0944602;102.1641847;Akha;Ethnoreligion;Asia;0
Akha Piso;Laos;LA;5500;21.578035;101.882316;Akha;Ethnoreligion;Asia;0
Akha Muji;Laos;LA;5300;21.368391;102.131034;Akha;Ethnoreligion;Asia;0
Sida;Laos;LA;2700;21.007379;101.474317;Sila;Ethnoreligion;Asia;0
Akha Luma;Laos;LA;6700;21.160488;102.118674;Akha;Ethnoreligion;Asia;0
Xingmoun Laomai;Laos;LA;6100;20.889184;104.244566;Puoc;Ethnoreligion;Asia;0
Oy Kamsang;Laos;LA;1400;14.811466;106.749345;Oy;Ethnoreligion;Asia;0
Phongset;Laos;LA;1100;21.673561;102.188065;Phunoi;Buddhism;Asia;0
Pong Phen;Laos;LA;3900;20.005982;103.866851;Phong-Kniang;Buddhism;Asia;0
Pong Puang;Laos;LA;3800;20.1757328;104.0074688;Phong-Kniang;Buddhism;Asia;0
Xingmoun Kor;Laos;LA;750;20.931766;104.077998;Puoc;Ethnoreligion;Asia;0
Thai Toum;Laos;LA;2600;18.57761;104.98219;Hung;Ethnoreligion;Asia;0
Yang;Laos;LA;6700;20.61966;101.07723;Bouyei;Ethnoreligion;Asia;0
Chechens;France;FR;67500;48.8822;2.381944;Chechen;Islam;Europe;0
Sapanawas;Brazil;BR;100;-9.83161901055;-71.7591216262;Undetermined;Ethnoreligion;Americas;0
Rohingya;Saudi Arabia;SA;430000;21.4496339099;39.8305073291;Rohingya;Islam;Asia;0
Ghazi;India;IN;1700;22.8444546307;88.8138702649;Bengali;Islam;Asia;0
Baga Mandouri;Guinea;GV;4900;10.76747;-14.60521;Baga Manduri;Islam;Africa;0
Kyrgyz;Germany;GM;14000;50.1129272386;8.67950178467;Kyrgyz;Islam;Europe;0
Zaghawa;United States;US;250;37.967;-91.83324;Zaghawa;Islam;Americas;0
Tatar;Azerbaijan;AJ;15500;40.411197;49.844;Tatar;Islam;Asia;0
Zaghawa;Libya;LY;11500;24.176351;23.43977;Zaghawa;Islam;Africa;0
Ahiska Turks;Uzbekistan;UZ;194000;41.33056;69.32652;Turkish;Islam;Asia;0
Vietnamese;Martinique;MB;375;14.620381;-61.045594;Vietnamese;Buddhism;Americas;0
Vietnamese;Uzbekistan;UZ;425;41.330194;69.267503;Vietnamese;Buddhism;Asia;0
Singmoon;Laos;LA;9500;18.44539;103.363665;Puoc;Ethnoreligion;Asia;0
Ahiska Turks;Ukraine;UP;8000;46.649;32.588;Turkish;Islam;Europe;0
Tatar;Turkmenistan;TX;72000;37.955331;58.337621;Tatar;Islam;Asia;0
Ahiska Turks;Azerbaijan;AJ;27000;39.864427;48.470137;Turkish;Islam;Asia;0
Tatar;United States;US;7000;40.742375;-73.890929;Tatar;Islam;Americas;0
Rashaida;Eritrea;ER;30500;15.3477;38.9247;Arabic, Hijazi;Islam;Africa;0
Vietnamese;China;CH;2700;19.369897;110.093181;Vietnamese;Unaffiliated;Asia;0
Talysh;Iran;IR;147000;38.17158;48.675;Talysh;Islam;Asia;0
Brao;United States;US;100;32.714313;-117.11051;Brao;Ethnoreligion;Americas;0
Andorrans;Andorra;AN;46000;42.48936;1.51829;Catalan;Unaffiliated;Europe;0
Imazighen;France;FR;150000;49.005397;2.21363;Tamazight, Central Atlas;Islam;Europe;0
Imazighen;United Kingdom;UK;3400;51.537269;-0.053662;Tamazight, Central Atlas;Islam;Europe;0
Circassians;Saudi Arabia;SA;29500;24.745494;46.771322;Kabardian;Islam;Asia;0
Evenk;Russian Federation;RS;33000;64.2756;100.21;Evenki;Ethnoreligion;Europe;0
Umpqua;United States;US;900;43.1856273834;-123.367778416;English;Ethnoreligion;Americas;0
Coquille;United States;US;600;43.394329;-124.219609;English;Ethnoreligion;Americas;0
Pequots;United States;US;1500;41.4710608528;-71.9576924592;English;Ethnoreligion;Americas;0
Chechens;Belgium;BE;18000;50.8377;4.406;Chechen;Islam;Europe;0
Middle-Eastern Turkoman;Syria;SY;125000;34.73359;36.72365;Turkish;Islam;Asia;0
Kohistani;Afghanistan;AF;2400;34.4188;70.4678;Gawri;Islam;Asia;0
Assyrians;United Kingdom;UK;7000;51.528511;-0.355176;Assyrian Neo-Aramaic;Christianity;Europe;0
Southeast Pashayi;Afghanistan;AF;172000;34.424012;70.449337;Pashai, Southeast;Islam;Asia;0
Bashgali Nuristani;Pakistan;PK;8900;35.702;71.689;Kateviri;Islam;Asia;0
Divehi;India;IN;74500;10.0675;73.6422;Maldivian;Islam;Asia;0
Brunei Dusun;Brunei;BX;10500;4.9098;114.9033;Kadazan Dusun;Islam;Asia;0
Jiamao Li;China;CH;109000;18.55481;109.85372;Jiamao;Ethnoreligion;Asia;0
Liabuku;Indonesia;ID;850;-5.39659979526;122.684807191;Indonesian;Islam;Asia;0
Kufra Bedouin;Libya;LY;30000;24.172309;23.246315;Arabic, Libyan;Islam;Africa;0
Arabized Birgid;Sudan;SU;242000;12.842579;25.106828;Arabic, Sudanese;Islam;Africa;0
Even;Russian Federation;RS;19000;62.7627;148.1616;Russian;Ethnoreligion;Europe;0
Pubiao;China;CH;425;23.221616;104.804141;Chinese, Mandarin;Ethnoreligion;Asia;0
Maghrebi Jews;Tunisia;TS;1100;36.807597;10.146419;Arabic, Tunisian;Judaism;Africa;0
Saaronge;Chad;CD;92500;12.11866;18.79962;Daju, Dar Daju;Islam;Africa;0
Gibe;Ethiopia;ET;131000;7.1142;39.9984;Oromo, Borana-Arsi-Guji;Christianity;Africa;0
Heishui;China;CH;48500;32.191643;103.038601;Tibetan, Central;Buddhism;Asia;0
Yazidi Kurds;United States;US;1100;40.8136;-96.7077;Kurdish, Northern;Ethnoreligion;Americas;0
Midob;Sudan;SU;92500;15.6341;32.3543;Midob;Islam;Africa;0
Wakhi;Pakistan;PK;17000;36.617193;74.862273;Wakhi;Islam;Asia;0
Mon;Laos;LA;400;19.154769;103.704206;Tho;Ethnoreligion;Asia;0
