PeopNameInCountry;Ctry;ISO2;Population;Latitude;Longitude;PrimaryLanguageName;PrimaryReligion;Region;PercentChristianity;JPScale
Ahiska Turks;Kyrgyzstan;KG;48500;42.886741;74.585904;Turkish;Islam;Central Asia;10;
Gawar-Bati;Afghanistan;AF;38000;35.22045;71.53814;Gawar-Bati;Islam;Southern Asia;0;
Dadupanthi;India;IN;101000;26.912416;75.787288;Marwari (India);Hinduism;Southern Asia;0;
Turks;Kazakhstan;KZ;91000;43.287186;76.896232;Turkish;Islam;Central Asia;0;
Jimdar;India;IN;98000;30.36508152;78.43825791;Garhwali;Hinduism;Southern Asia;0;
Tatar;Türkiye;TU;31000;41.074531;28.940367;Tatar;Islam;Western Asia;10;
Ahiska Turks;Russian Federation;RS;80000;45.038046;39.022423;Turkish;Islam;Eastern Europe;0;
Badhae;Nepal;NP;52000;26.453818;87.27399;Nepali;Hinduism;Southern Asia;10;
Yazidi Kurds;Armenia;AM;35500;40.637591;44.219856;Kurdish, Northern;Ethnoreligion;Western Asia;10;
Manjak;Senegal;SG;181000;12.656;-15.4287;Mandjak;Ethnoreligion;Western Africa;10;
Matses;Brazil;BR;1600;-5.727207;-72.721183;Matses;Ethnoreligion;South America;75;
Manjak;Guinea-Bissau;PU;114000;12.37436;-15.60103;Mandjak;Ethnoreligion;Western Africa;10;
Huni Kuin;Brazil;BR;7200;-9.108;-70.715;Kashinawa;Ethnoreligion;South America;75;
Yaz Gulom;Tajikistan;TI;5500;38.28006;71.56505;Yazghulami;Islam;Central Asia;10;
Riau Malay;Indonesia;ID;2375000;0.530739;101.448228;Malay;Islam;South-Eastern Asia;10;
Newar;India;IN;231000;26.735981;88.408625;Nepali;Hinduism;Southern Asia;10;
Cusco Quechua;Peru;PE;2345000;-14.08527;-71.76625;Quechua, Cusco;Ethnoreligion;South America;75;
Kyrgyz;Uzbekistan;UZ;316000;40.988354;71.680192;Kyrgyz;Islam;Central Asia;10;
Tatar;Tajikistan;TI;7100;38.5536;68.7362;Tatar;Islam;Central Asia;10;
Adibasi;Nepal;NP;9000;28.13;82.07;Nepali;Hinduism;Southern Asia;10;
Ghandarbav;Nepal;NP;10000;28.18314;84.041918;Nepali;Hinduism;Southern Asia;10;
Eastern Lawa;Thailand;TH;7100;18.962845;98.726973;Lawa, Eastern;Ethnoreligion;South-Eastern Asia;10;
Galo;Pakistan;PK;4000;35.0073;72.9674;Kohistani, Indus;Islam;Southern Asia;0;
Bhattra (Punjabi);India;IN;79000;31.3354288982;75.5798763943;Punjabi, Eastern;Sikhism;Southern Asia;75;
Irob;Ethiopia;ET;54000;14.5333;39.6333;Saho;Christianity;Eastern Africa;10;
Tatar;Russian Federation;RS;7115000;55.37514;50.77265;Tatar;Islam;Eastern Europe;10;
Central Moroccan Imazighen;Morocco;MO;3515000;32.6087;-4.0699;Tamazight, Central Atlas;Islam;Northern Africa;10;
Nawa Sherpa;Nepal;NP;950;27.69255;87.34093;Naaba;Ethnoreligion;Southern Asia;75;
Chinese Americans;United States;US;1750000;37.6771955023;-122.026200957;English;Unaffiliated;Northern America;75;
Kgalagadi;Botswana;BC;56500;-21.5283;21.931;Kgalagadi;Ethnoreligion;Southern Africa;10;
Olubogo;South Sudan;OD;24500;4.6242;31.91031;Olu’bo;Islam;Northern Africa;0;
Wakhi;China;CH;9600;37.38;75.402;Wakhi;Islam;Eastern Asia;0;
Han Chinese (Min Nan);Taiwan;TW;13660000;22.727244;120.295781;Chinese, Min Nan;Ethnoreligion;Eastern Asia;75;
Pangwal Buddhists;India;IN;2100;33.15328;76.49206;Pangwali;Buddhism;Southern Asia;0;
Santo Domingo Pueblo;United States;US;3300;35.5181579171;-106.366761706;Keres, Eastern;Ethnoreligion;Northern America;75;
Amish;Canada;CA;11000;43.4186;-80.4727;German, Pennsylvania;Christianity;Northern America;75;
Macedonians;Canada;CA;24000;43.7062;-79.3123;Macedonian;Christianity;Northern America;0;
Kathonglueng;Laos;LA;1400;18.14594;105.17113;Lao;Ethnoreligion;South-Eastern Asia;10;
Katu Hanna;Laos;LA;750;15.590595;107.142317;Katu, Western;Ethnoreligion;South-Eastern Asia;0;
Katu Triew;Laos;LA;2500;15.590595;107.142317;Katu, Western;Ethnoreligion;South-Eastern Asia;0;
Ta-Oy Haang;Laos;LA;300;15.9623912;106.5365729;Ta’oih, Upper;Ethnoreligion;South-Eastern Asia;75;
Ta-Oy Pras;Laos;LA;1300;16.266094;106.707533;Ta’oih, Upper;Ethnoreligion;South-Eastern Asia;0;
Ta-Oy Ralok;Laos;LA;850;15.975755;106.625407;Ta’oih, Upper;Ethnoreligion;South-Eastern Asia;0;
Ta-Oy Tamla;Laos;LA;1600;15.63766;107.211813;Ta’oih, Upper;Ethnoreligion;South-Eastern Asia;0;
Ta-Oy Yin;Laos;LA;8500;15.724027;106.478927;Ta’oih, Upper;Ethnoreligion;South-Eastern Asia;75;
Baga Fore;Guinea;GV;9500;10.7941;-14.7132;Mbulungish;Islam;Western Africa;0;
Baga Koga;Guinea;GV;5400;10.048028;-12.853688;Susu;Islam;Western Africa;0;
Bhattra (Bhatri);India;IN;335000;19.0814;82.0213;Bhatri;Hinduism;Southern Asia;0;
Cape Malay;South Africa;SF;248000;-33.97554;18.44811;Afrikaans;Islam;Southern Africa;0;
Zia Pueblo;United States;US;800;35.4974891891;-106.730414378;Keres, Eastern;Ethnoreligion;Northern America;75;
Mennonites;Canada;CA;163000;49.893365;-97.207537;Plautdietsch;Christianity;Northern America;75;
Canary Islanders;Spain;SP;1555000;28.469671;-16.303437;Spanish;Christianity;Southern Europe;10;
Giriama Mijikenda;Kenya;KE;1125000;-3.39952119592;39.7116294026;Kigiryama;Ethnoreligion;Eastern Africa;75;
Acoma Pueblo;United States;US;3100;34.89633;-107.58228;English;Ethnoreligion;Northern America;75;
Cochiti Pueblo;United States;US;1500;35.607575;-106.347463;English;Ethnoreligion;Northern America;75;
Laguna Pueblo;United States;US;4800;35.034485;-107.254635;English;Ethnoreligion;Northern America;75;
San Felipe Pueblo;United States;US;3600;35.437935;-106.437665;English;Ethnoreligion;Northern America;75;
Santa Ana Pueblo;United States;US;1000;35.340905;-106.524766;English;Ethnoreligion;Northern America;75;
Nambe Pueblo;United States;US;2000;35.887887;-105.964934;English;Ethnoreligion;Northern America;75;
Pojoaque Pueblo;United States;US;3700;35.8933210634;-106.016876443;English;Ethnoreligion;Northern America;75;
San Ildefonso Pueblo;United States;US;2100;35.890879;-106.118618;English;Ethnoreligion;Northern America;75;
Ohkay Owingeh Pueblo;United States;US;6300;36.052136247;-106.067966118;English;Ethnoreligion;Northern America;75;
Santa Clara Pueblo;United States;US;12000;35.96558;-106.08863;English;Ethnoreligion;Northern America;75;
Tesuque Pueblo;United States;US;1200;35.8067927229;-105.97051834;English;Ethnoreligion;Northern America;75;
Isleta Pueblo;United States;US;4500;34.9054744313;-106.694310117;English;Ethnoreligion;Northern America;75;
Sandia Pueblo;United States;US;4900;35.2511271694;-106.573606844;English;Ethnoreligion;Northern America;75;
Taos Pueblo;United States;US;5300;36.439899;-105.546692;English;Ethnoreligion;Northern America;75;
Tolowa;United States;US;1900;41.954706964;-124.20588412;English;Christianity;Northern America;75;
Gabrielino-Tongva;United States;US;3100;34.048775;-118.014656;English;Ethnoreligion;Northern America;75;
Salinans;United States;US;800;35.754692;-120.693042;English;Christianity;Northern America;75;
Rumsen Ohlone;United States;US;2000;36.714304;-121.649127;English;Christianity;Northern America;75;
Dididahts;Canada;CA;800;48.808439181;-124.669550892;English;Ethnoreligion;Northern America;75;
Tajiks;Germany;GM;25000;52.5149789226;13.3443563628;Tajik;Islam;Western Europe;0;
Akha Jaweuy;Laos;LA;4800;21.185418;101.381256;Akha;Ethnoreligion;South-Eastern Asia;10;
Macanese;Macao;MC;8900;22.1592562486;113.554819616;Chinese, Yue;Christianity;Eastern Asia;75;
Han Chinese (Cantonese);Hong Kong;HK;6255000;22.3109221025;114.171670154;Chinese, Yue;Ethnoreligion;Eastern Asia;75;
Filipinos;Hong Kong;HK;199000;22.2802154008;114.227607916;Tagalog;Christianity;Eastern Asia;75;
Vietnamese;Macao;MC;18500;22.1320499852;113.561457193;Vietnamese;Buddhism;Eastern Asia;0;
Han Chinese (Hakka);Hong Kong;HK;255000;22.3855738638;114.271262376;Chinese, Hakka;Ethnoreligion;Eastern Asia;10;
Vietnamese;Hong Kong;HK;46500;22.3292502738;114.161542132;Vietnamese;Buddhism;Eastern Asia;10;
Nepalis;Hong Kong;HK;29500;22.3089987285;114.170687868;Nepali;Hinduism;Eastern Asia;0;
Koreans;Hong Kong;HK;8600;22.2846453527;114.223073202;Korean;Unaffiliated;Eastern Asia;75;
Japanese;Hong Kong;HK;10000;22.2867323206;114.216387942;Japanese;Buddhism;Eastern Asia;0;
Han Chinese (Min Nan);Hong Kong;HK;419000;22.3482243281;114.198935709;Chinese, Min Nan;Ethnoreligion;Eastern Asia;75;
Han Chinese (Mandarin);Hong Kong;HK;163000;22.2866573104;114.214909747;Chinese, Mandarin;Ethnoreligion;Eastern Asia;75;
Han Chinese (Wu);Hong Kong;HK;56500;22.2894943066;114.199550821;Chinese, Wu;Ethnoreligion;Eastern Asia;75;
South Asians;Hong Kong;HK;15500;22.3004534722;114.17258091;Urdu;Islam;Eastern Asia;0;
Tanzanians;United States;US;22000;41.767462241;-87.6158156715;Swahili;Christianity;Northern America;10;
Khom Khea;Laos;LA;13000;14.7491;105.8975;Khmer;Ethnoreligion;South-Eastern Asia;10;
Lahu Kuisoong;Laos;LA;1600;21.179062;101.566495;Lahu Shi;Ethnoreligion;South-Eastern Asia;75;
Oy Layao;Laos;LA;5500;14.83552;106.75856;Oy;Ethnoreligion;South-Eastern Asia;10;
